lesson_id	grade	strategy_type	family	notes
G7-L23	7	unknown	unknown	router_gap
G7-L24	7	unknown	unknown	kp_fail:label_only;router_gap
G7-L25	7	summary_pse	keypoints	
G7-L26	7	main_idea_inference	guided_steps	
G7-L27	7	unknown	unknown	no_spotlight_section;router_gap
G7-L28	7	image_text	image_table	
G7-L29	7	image_text	image_table	
G7-L30	7	table_text	image_table	
G8-L10	8	inference	guided_steps	no_spotlight_section
G8-L12	8	main_idea_inference	guided_steps	
G8-L13	8	scientific_inquiry	guided_steps	
G8-L14	8	scientific_inquiry	guided_steps	
G8-L15	8	inference	guided_steps	
G8-L16	8	main_idea_inference	guided_steps	
G8-L17	8	multiple_perspectives	comparison_table	
G8-L18	8	multiple_perspectives	comparison_table	
G8-L19	8	multiple_perspectives	comparison_table	kp_fail:blank_br=0.60
G8-L2	8	writing_technique	guided_steps	no_spotlight_section
G8-L3	8	writing_technique	guided_steps	
G8-L9	8	main_idea_inference	guided_steps	
G9-L11	9	summary	guided_steps	
G9-L12	9	summary	guided_steps	
G9-L13	9	sel_character	guided_steps	
G9-L14	9	sel_character	guided_steps	
文-L10	wen	unknown	unknown	no_spotlight_section;kp_fail:label_only;router_gap
G8-L11	8	main_idea_inference	guided_steps	
