sheet,excel_row,story_id,online_grade_code,online_lesson_number,new_code,old_code,title,label,note
1.總表,22,1007,G4-L7,1007,G5-L00,G5-L0,正太與小豬：武僧的養成之路,不變,課次=0 是跨年級共用示範課占位（非獨立課次），沿用 story_id=1007，不需要新分配課號。
1.總表,23,,,,G5-L01,（無，總表留白）,新增解題策略──特殊標點符號,新增,
1.總表,24,1028,G5-L1,1028,G5-L02,G5-L1,兵來將擋，水來土掩,改序,
1.總表,25,1029,G5-L2,1029,G5-L03,G5-L2,以植物為師的科學,改序,
1.總表,26,1030,G5-L3,1030,G5-L04,G5-L3,工地大嫂,改序,
1.總表,27,1031,G5-L4,1031,G5-L05,G5-L4,災難預言準不準？,改序,
1.總表,28,1046,G5-L19,1046,G5-L06,G5-L19,感情小日記3──吃醋的滋味,改序,
1.總表,29,1032,G5-L5,1032,G5-L07,G5-L5,比運氣更重要的事：《長腿叔叔》的啟發,改序,
1.總表,30,1033,G5-L6,1033,G5-L08,G5-L6,堅持到底的棒球人生──周思齊(前篇),改序,
1.總表,31,1034,G5-L7,1034,G5-L09,G5-L7,堅持到底的棒球人生──周思齊(後篇),改序,
1.總表,32,1047,G5-L20,1047,G5-L10,G5-L20,感情小日記4──我被告白了,改序,
1.總表,33,1019,G4-L19,1019,G5-L11,G4-L19,救援大隊的好幫手,改code,
1.總表,34,1044,G5-L17,1044,G5-L12,G5-L17,掃雷英雄馬嘎瓦,改序,
1.總表,35,8,G5-L08,8,G5-L13,G5-L8,奧運銀牌背後的自我鍛鍊,改序,
1.總表,36,9,G5-L09,9,G5-L14,G5-L9,周天成的一天──頂尖選手的養成,改序,
1.總表,37,1038,G5-L11,1038,G5-L15,G5-L11,「拳」力出擊──陳念琴,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=11(G5-L11 拳力出擊──陳念琴)
1.總表,38,10,G5-L10,10,G5-L16,G5-L10,從童工到大學教授之路,改序,
1.總表,39,1051,G5-L24,1051,G5-L17,G5-L24,牧羊少年的逆轉勝,改序,
1.總表,40,1051,G5-L24,1051,G5-L18,G5-L25,牧羊少年致勝的關鍵,改序,舊課次 G5-L25 是多文本合併課的副段落，獨立內容併在 host story_id=1051（G5-L24 牧羊少年的逆轉勝），線上沒有屬於這個副段落自己的 story_id。
1.總表,41,1039,G5-L12,1039,G5-L19,G5-L12,六塊肌、六塊雞,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=13(G5-L12 六塊肌六塊雞)
1.總表,42,1040,G5-L13,1040,G5-L20,G5-L13,小丑醫生,改序,
1.總表,43,1041,G5-L14,1041,G5-L21,G5-L14,垃圾食物的誘惑與代價,改序,
1.總表,44,1048,G5-L21,1048,G5-L22,G5-L21,抗拒指尖上的誘惑,改序,
1.總表,45,1042,G5-L15,1042,G5-L23,G5-L15,信件的力量──寫信馬拉松,改序,
1.總表,46,1043,G5-L16,1043,G5-L24,G5-L16,臺灣棒球先驅──來自花蓮的能高團,改序,
1.總表,47,1076,G6-L22,1076,G5-L25,G6-L22,小兵立大功：雞鳴狗盜的故事,改code,
1.總表,48,1045,G5-L18,1045,G5-L26,G5-L18,魚來了，叮咚叮咚請開門,改序,
1.總表,49,12,G5-L22,12,G5-L27,G5-L22,我有一個棒球夢,改序,
1.總表,50,1050,G5-L23,1050,G5-L28,G5-L23,我的電競夢：從熬夜打遊戲到拿下全國冠軍,改序,
1.總表,51,1007,G4-L7,1007,G6-L00,G6-L0,正太與小豬：武僧的養成之路,不變,課次=0 是跨年級共用示範課占位（非獨立課次），沿用 story_id=1007，不需要新分配課號。
1.總表,52,,,,G6-L01,（無，總表留白）,新增解題策略──八二法則/總結詞,新增,
1.總表,53,1053,G5-L26,1053,G6-L02,G5-L26,數字記憶的奧秘,改code,
1.總表,54,1054,G5-L27,1054,G6-L03,G5-L27,重複朗讀的重要性：柳丁和文旦的比喻,改code,
1.總表,55,1056,G6-L2,1056,G6-L04,G6-L2,與小學說再見,改序,
1.總表,56,17,G6-L06,17,G6-L05,G6-L6,心理出狀況，是壞事導致的嗎？,改序,
1.總表,57,25,G6-L17,25,G6-L06,G6-L17,給神明發會診單,改序,
1.總表,58,1020,G4-L20,1020,G6-L07,G4-L20,物以稀為貴：從「供給」和「需求」談物價波動,改code,
1.總表,59,1020,G4-L20,1020,G6-L08,G4-L21,政府可以干預價格嗎？,改code,舊課次 G4-L21 是多文本合併課的副段落，獨立內容併在 host story_id=1020（G4-L20 物以稀為貴： 從「供給」和「需求」談物價波動），線上沒有屬於這個副段落自己的 story_id。
1.總表,60,1020,G4-L20,1020,G6-L09,G4-L22,一個月80萬薪水？人力市場的供需原則,改code,舊課次 G4-L22 是多文本合併課的副段落，獨立內容併在 host story_id=1020（G4-L20 物以稀為貴： 從「供給」和「需求」談物價波動），線上沒有屬於這個副段落自己的 story_id。
1.總表,61,1072,G6-L18,1072,G6-L10,G6-L18,把手上的餅吃香一點！,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=27(G6-L18 把手上的餅吃香一點)
1.總表,62,1077,G6-L23,1077,G6-L11,G6-L23,老鷹紅豆的故事,改序,
1.總表,63,1078,G6-L24,1078,G6-L12,G6-L24,白鯨救援：一場人與自然的協奏曲,改序,
1.總表,64,1079,G6-L25,1079,G6-L13,G6-L25,荷蘭東印度公司：全世界第一張股票的誕生,改序,
1.總表,65,28,G6-L19,28,G6-L14,G6-L19,紅領帶,改序,
1.總表,66,1055,G6-L1,1055,G6-L15,G6-L1,運動傷害，怎麼辦?,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=14(G6-L01 運動傷害，怎麼辦)
1.總表,67,1074,G6-L20,1074,G6-L16,G6-L20,感情小日記5──我該告白嗎？,改序,
1.總表,68,18,G6-L08,18,G6-L17,G6-L8,動物談情說愛的方式,改序,
1.總表,69,19,G6-L09,19,G6-L18,G6-L9,祝你好眠,改序,
1.總表,70,20,G6-L10,20,G6-L19,G6-L10,末日種子庫,改序,
1.總表,71,1065,G6-L11,1065,G6-L20,G6-L11,古代畫家心中的仙境,改序,
1.總表,72,1066,G6-L12,1066,G6-L21,G6-L12,愛冒險逞強的雄性動物,改序,
1.總表,73,1075,G6-L21,1075,G6-L22,G6-L21,感情小日記6──我失戀了,改序,
1.總表,74,21,G6-L13,21,G6-L23,G6-L13,森林大軍的守護者,改序,
1.總表,75,22,G6-L14,22,G6-L24,G6-L14,植物獵人,改序,
1.總表,76,23,G6-L15,23,G6-L25,G6-L15,小藍鯨之死,改序,
1.總表,77,1057,G6-L3,1057,G6-L26,G6-L3,昆蟲會思考嗎?,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=24(G6-L03 昆蟲會思考嗎？)
1.總表,78,15,G6-L04,15,G6-L27,G6-L4,兩千五百歲的酷老師,改序,
1.總表,79,16,G6-L05,16,G6-L28,G6-L5,卡通人氣王票選政見發表會,改序,
1.總表,80,26,G6-L16,26,G6-L29,G6-L16,奇蹟行動,改序,
1.總表,81,1007,G4-L7,1007,G7-L00,G7-L0,正太與小豬：武僧的養成之路,不變,課次=0 是跨年級共用示範課占位（非獨立課次），沿用 story_id=1007，不需要新分配課號。
1.總表,82,1107,G7-L27,1107,G7-L01,G7-L27,帶著「血拼清單」閱讀,改序,
1.總表,83,1102,G7-L23,1102,G7-L02,G7-L23,雨林裡的奇蹟藥物,改序,
1.總表,84,1103,G7-L31,1103,G7-L03,（無，總表留白）,最後一隻旅人鴿,改序,
1.總表,85,1104,G7-L24,1104,G7-L04,G7-L24,未來的農夫,改序,
1.總表,86,1108,G7-L28,1108,G7-L05,G7-L28,看不見的兇手:以實驗破解肉湯腐敗之謎,改序,
1.總表,87,1109,G7-L29,1109,G7-L06,G7-L29,從四張圖，看地球暖化的現象,改序,
1.總表,88,1110,G7-L30,1110,G7-L07,G7-L30,都是八哥，為什麼命運不一樣？,改序,
1.總表,89,1080,G7-L1,1080,G7-L08,G7-L1,長大後，我才讀懂〈夏夜〉,改序,
1.總表,90,29,G7-L02,29,G7-L09,G7-L2,澳洲奧運金牌的X機密,改序,
1.總表,91,30,G7-L03,30,G7-L10,G7-L3,女性太空人登月,改序,
1.總表,92,1083,G7-L4,1083,G7-L11,G7-L4,從〈螞蟻與蟋蟀〉看生命的多樣性,改序,
1.總表,93,1084,G7-L5,1084,G7-L12,G7-L5,爺爺奶奶來了以後,改序,
1.總表,94,,,,G7-L13,G7-L31,大自然的氣象小幫手（自我提問策略-讀出重點）,總表有但線上無,⚠️ 舊課次代碼比對到 story_id=1103（G7-L31 最後一隻旅人鴿），但課名跟總表列的「大自然的氣象小幫手（自我提問策略-讀出重點）」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。課名比對也找不到線上對應，需人工核對，暫列總表有但線上無。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1103(G7-L31 最後一隻旅人鴿)
1.總表,95,,,,G7-L14,G7-L32,正太與小豬（自我提問策略-讀出關係）,總表有但線上無,舊課次「7-32」不是合法日期（陷阱1 的字串型別），推斷是把既有課文「正太與小豬：武僧的養成之路」(story_id=1007) 重新包裝成另一個閱讀策略練習，線上找不到屬於這個練習版本自己的 story_id，需人工確認二修後是否仍要保留為獨立課。
1.總表,96,,,,G7-L15,G7-L33,把手上的餅吃香一點（自我提問策略）,總表有但線上無,舊課次「7-33」不是合法日期（陷阱1 的字串型別），推斷是把既有課文「把手上的餅吃香一點！」(story_id=1072) 重新包裝成另一個閱讀策略練習，線上找不到屬於這個練習版本自己的 story_id，需人工確認二修後是否仍要保留為獨立課。
1.總表,97,1097,G7-L18,1097,G7-L16,G7-L18,一封向醫師求助的信,改序,
1.總表,98,31,G7-L06,31,G7-L17,G7-L6,奧運性別平等這條路,改序,
1.總表,99,1086,G7-L7,1086,G7-L18,G7-L7,你看見時代的灰犀牛了嗎？談人口負成長,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=38(G7-L07 你看見時代的灰犀牛了嗎談人口負成長)
1.總表,100,1089,G7-L10,1089,G7-L19,G7-L10,塑膠，好用不好甩,改序,
1.總表,101,1090,G7-L11,1090,G7-L20,G7-L11,AI什麼都會，我們還要學什麼？,改序,
1.總表,102,1091,G7-L12,1091,G7-L21,G7-L12,你以為的浪漫可能是跟騷,改序,
1.總表,103,1106,G7-L26,1106,G7-L22,G7-L26,小米酒的祝福,改序,
1.總表,104,39,G7-L20,39,G7-L23,G7-L20,網紅的電子煙實驗：偽科學的陷阱,改序,
1.總表,105,40,G7-L21,40,G7-L24,G7-L21,別上「誘餌式標題」的鉤,改序,
1.總表,106,41,G7-L22,41,G7-L25,G7-L22,信眾與教主,改序,
1.總表,107,1098,G7-L19,1098,G7-L26,G7-L19,「背影」讀書會,改序,
1.總表,108,37,G7-L17,37,G7-L27,G7-L17,用科學方法伸張正義的神探,改序,
1.總表,109,1094,G7-L15,1094,G7-L28,G7-L15,看到了嗎？然後呢？,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=35(G7-L15 看到了嗎，然後呢)
1.總表,110,36,G7-L16,36,G7-L29,G7-L16,果醬男孩,改序,
1.總表,111,7,G6-L07,7,G7-L30,G6-L7,黑猩猩的守護者,改code,
1.總表,112,1105,G7-L25,1105,G7-L31,G7-L25,當全世界都在笑你，你可以怎麼做？,改序,
1.總表,113,32,G7-L08,32,G7-L32,G7-L8,科學怪人,改序,
1.總表,114,33,G7-L09,33,G7-L33,G7-L9,吐瓦魯：逐漸被淹没的島國,改序,
1.總表,115,34,G7-L13,34,G7-L34,G7-L13,綠色賽事,改序,
1.總表,116,1093,G7-L14,1093,G7-L35,G7-L14,隱藏在日常對話中的微歧視,改序,
1.總表,117,1007,G4-L7,1007,G8-L00,G8-L0,正太與小豬：武僧的養成之路,不變,課次=0 是跨年級共用示範課占位（非獨立課次），沿用 story_id=1007，不需要新分配課號。
1.總表,118,1117,G8-L6a,1117,G8-L01,G8-L7,讓你口中的甜蜜成為遠方農民的希望,改序,⚠️ 舊課次代碼比對到 story_id=1119（G8-L7 讓黑猩猩被看見的人），但課名跟總表列的「讓你口中的甜蜜成為遠方農民的希望」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1117（G8-L6a），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1119(G8-L7 讓黑猩猩被看見的人)
1.總表,119,1118,G8-L6b,1118,G8-L02,G8-L8,隱形的征服者,改序,⚠️ 舊課次代碼比對到 story_id=1120（G8-L8 「按讚」背後的真相），但課名跟總表列的「隱形的征服者」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1118（G8-L6b），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1120(G8-L8 「按讚」背後的真相)
1.總表,120,1112,G8-L2,1112,G8-L03,G8-L2,爸爸的恩人們,改序,
1.總表,121,1114,G8-L3b,1114,G8-L04,G8-L4,新奇!「植物肉」你聽過嗎?,不變,⚠️ 舊課次代碼比對到 story_id=1115（G8-L4 好心沒好報玻璃娃娃爭議事件），但課名跟總表列的「新奇!「植物肉」你聽過嗎?」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1114（G8-L3b），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1115(G8-L4 好心沒好報玻璃娃娃爭議事件)
1.總表,122,1115,G8-L4,1115,G8-L05,G8-L5,好心沒好報玻璃娃娃爭議事件,不變,⚠️ 舊課次代碼比對到 story_id=1116（G8-L5 戲院、賭場、檳榔攤：在時代夾縫中成長的我），但課名跟總表列的「好心沒好報玻璃娃娃爭議事件」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1115（G8-L4），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1116(G8-L5 戲院、賭場、檳榔攤：在時代夾縫中成長的我)
1.總表,123,1116,G8-L5,1116,G8-L06,G8-L6,戲院、賭場、檳榔攤：在時代夾縫中成長的我,不變,
1.總表,124,1113,G8-L3a,1113,G8-L07,G8-L3,當壞事已不可逆轉：集中營裡的一門課,改序,
1.總表,125,1119,G8-L7,1119,G8-L08,G8-L9,讓黑猩猩被看見的人,改序,
1.總表,126,1120,G8-L8,1120,G8-L09,G8-L10,「按讚」背後的真相,改序,⚠️ 舊課次代碼比對到 story_id=1123（G8-L10 構樹：南島祖先「出台灣說」的植物證據），但課名跟總表列的「「按讚」背後的真相」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1120（G8-L8），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1123(G8-L10 構樹：南島祖先「出台灣說」的植物證據)
1.總表,127,1121,G8-L9a,1121,G8-L10,G8-L11,虎襲事件的真相：誰才是受害者？,改序,⚠️ 舊課次代碼比對到 story_id=1124（G8-L11 科學辦案：破解蝴蝶蘭的花期密碼），但課名跟總表列的「虎襲事件的真相：誰才是受害者？」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1121（G8-L9a），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1124(G8-L11 科學辦案：破解蝴蝶蘭的花期密碼)
1.總表,128,1125,G8-L12a,1125,G8-L11,G8-L15,球場上的另類指揮家,改序,⚠️ 舊課次代碼比對到 story_id=1129（G8-L15 核能的兩難抉擇），但課名跟總表列的「球場上的另類指揮家」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1125（G8-L12a），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1129(G8-L15 核能的兩難抉擇)
1.總表,129,1126,G8-L12b,1126,G8-L12,G8-L16,我的阿嬤,改序,
1.總表,130,1127,G8-L13,1127,G8-L13,G8-L17,我能不能選擇告別方式?,改序,
1.總表,131,1128,G8-L14,1128,G8-L14,G8-L18,石虎保育：遷移與否的兩難,改序,
1.總表,132,1129,G8-L15,1129,G8-L15,G8-L19,核能的兩難抉擇,改序,
1.總表,133,,,,G8-L16,G8-L22,塞翁失馬，焉知非福,總表有但線上無,
1.總表,134,,,,G8-L17,G8-L23,懸崖邊的那顆草莓,總表有但線上無,
1.總表,135,1111,G8-L1,1111,G8-L18,G8-L1,致台東：一封過客的情書,改序,
1.總表,136,51,G9-L06,51,G8-L19,G9-L6,靈異與科學,改code,
1.總表,137,50,G9-L05,50,G8-L20,G9-L5,＃MeToo運動與我們的權利,改code,
1.總表,138,1007,G4-L7,1007,G9-L00,G9-L0,正太與小豬：武僧的養成之路,不變,課次=0 是跨年級共用示範課占位（非獨立課次），沿用 story_id=1007，不需要新分配課號。
1.總表,139,,,,G9-L01,G8-L20,認命是強者的選項,總表有但線上無,
1.總表,140,,,,G9-L02,G8-L21,看不見的故事，推動看得見的世界,總表有但線上無,
1.總表,141,1122,G8-L9b,1122,G9-L03,G8-L12,語言的足跡：從臺北萬華到南太平洋的航海之路,改code,
1.總表,142,1123,G8-L10,1123,G9-L04,G8-L13,構樹：南島祖先「出台灣說」的植物證據,改code,⚠️ 舊課次代碼比對到 story_id=1127（G8-L13 我能不能選擇告別方式?），但課名跟總表列的「構樹：南島祖先「出台灣說」的植物證據」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1123（G8-L10），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1127(G8-L13 我能不能選擇告別方式?)
1.總表,143,1124,G8-L11,1124,G9-L05,G8-L14,科學辦案：破解蝴蝶蘭的花期密碼,改code,⚠️ 舊課次代碼比對到 story_id=1128（G8-L14 石虎保育：遷移與否的兩難），但課名跟總表列的「科學辦案：破解蝴蝶蘭的花期密碼」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。改用課名比對搶救為 story_id=1124（G8-L11），需人工確認此列的正確線上對應。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1128(G8-L14 石虎保育：遷移與否的兩難)
1.總表,144,1144,G9-L15,1144,G9-L06,G9-L15,未解之謎──石頭的祕密(一)：巨石陣,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=56(G9-L15 多文本-未解之謎-巨石陣+摩艾石像)
1.總表,145,56,G9-L15,56,G9-L07,G9-L16,未解之謎──石頭的祕密(二)：摩艾石像,改序,舊課次 G9-L16 是多文本合併課的副段落，獨立內容併在 host story_id=56（G9-L15 多文本-未解之謎-巨石陣+摩艾石像），線上沒有屬於這個副段落自己的 story_id。
1.總表,146,48,G9-L01,48,G9-L08,G9-L1,盡信書不如無書：從一件殺人案談起,改序,
1.總表,147,1131,G9-L2,1131,G9-L09,G9-L2,帝國家書：一個普通家庭的生與死,改序,
1.總表,148,1132,G9-L3,1132,G9-L10,G9-L3,國高中數學課當然可以使用計算機,改序,
1.總表,149,49,G9-L04,49,G9-L11,G9-L4,預防近視？多點戶外活動就對了！,改序,
1.總表,150,1142,G9-L13,1142,G9-L12,G9-L13,樂觀者勝：向NBA球員學習「詮釋失敗」的智慧,改序,
1.總表,151,52,G9-L07,52,G9-L13,G9-L7,從基因來的特別禮物,改序,
1.總表,152,53,G9-L08,53,G9-L14,G9-L8,臺灣學生的閱讀力：美麗與哀愁,改序,
1.總表,153,,,,G9-L15,G9-L11,長喙天蛾見前人所未見,總表有但線上無,⚠️ 舊課次代碼比對到 story_id=1140（G9-L11 見前人所未見—達爾文與長喙天蛾的故事），但課名跟總表列的「長喙天蛾見前人所未見」完全不同——這是 G8 因 a/b 分裂課造成舊課次數字位移的已知現象，不是唯一候選就代表比對正確。課名比對也找不到線上對應，需人工核對，暫列總表有但線上無。 ⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1140(G9-L11 見前人所未見—達爾文與長喙天蛾的故事)
1.總表,154,1141,G9-L12,1141,G9-L16,G9-L12,臺灣的太空之眼,改序,
1.總表,155,1143,G9-L14,1143,G9-L17,G9-L14,焚而不燬的倫敦,改序,
1.總表,156,1146,G9-L17,1146,G9-L18,G9-L17,馬拉松王者──基普喬吉,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=58(G9-L17 多文本-馬拉松王者+靠跑鞋破紀錄合理嗎+促成更高更快更遠的因素)
1.總表,157,58,G9-L17,58,G9-L19,G9-L18,靠跑鞋破紀錄合理嗎？,改序,舊課次 G9-L18 是多文本合併課的副段落，獨立內容併在 host story_id=58（G9-L17 多文本-馬拉松王者+靠跑鞋破紀錄合理嗎+促成更高更快更遠的因素），線上沒有屬於這個副段落自己的 story_id。
1.總表,158,58,G9-L17,58,G9-L20,G9-L19,促成更高更快更遠的兩個因素,改序,舊課次 G9-L19 是多文本合併課的副段落，獨立內容併在 host story_id=58（G9-L17 多文本-馬拉松王者+靠跑鞋破紀錄合理嗎+促成更高更快更遠的因素），線上沒有屬於這個副段落自己的 story_id。
1.總表,159,1139,G9-L10,1139,G9-L21,G9-L10,高地訓練有助於運動表現嗎？,改序,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=55(G9-L10 高地訓練有助於運動表現嗎？)
1.總表,160,54,G9-L09,54,G9-L15,G9-L9,力與美表現的競技體操,改序,
2.體育生的品格聚光燈,2,1023,G4-L23,1023,體-1,原課次(全域序號)=123,心，也要一起練,改序,
2.體育生的品格聚光燈,3,1024,G4-L24,1024,體-2,原課次(全域序號)=128,成為身體的最佳夥伴,改序,
2.體育生的品格聚光燈,4,1025,G4-L25,1025,體-3,原課次(全域序號)=129,身體，謝謝你,改序,
2.體育生的品格聚光燈,5,1026,G4-L26,1026,體-4,原課次(全域序號)=137,專注當下：關掉內心的批評噪音,改序,
2.體育生的品格聚光燈,6,1027,G4-L27,1027,體-5,原課次(全域序號)=138,從白熊到藍海豚：學習與念頭和平相處,改序,
2.體育生的品格聚光燈,7,,,,體-6,原課次(全域序號)=154,不是想太多，只是好在乎,總表有但線上無,
2.體育生的品格聚光燈,8,,,,體-7,原課次(全域序號)=155,讓「想很多」助你一臂之力,總表有但線上無,
2.體育生的品格聚光燈,9,,,,體-8,原課次(全域序號)=159,面對「失敗」，不只有一種可能,總表有但線上無,
2.體育生的品格聚光燈,10,,,,體-9,原課次(全域序號)=160,成長型思維：翻轉失敗的關鍵,總表有但線上無,
2.體育生的品格聚光燈,11,,,,體-10,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,12,,,,體-11,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,13,,,,體-12,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,14,,,,體-13,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,15,,,,體-14,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,16,,,,體-15,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
2.體育生的品格聚光燈,17,,,,體-16,（無，總表留白）,待寫,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
3.文言文,2,44,文-L01,44,文-L01,（無，總表留白）,假新聞？鞭虎救弟記,改code,
3.文言文,3,1150,文-L2,1150,文-L02,（無，總表留白）,文言文怎麼讀？以「鞭虎救弟記」為例,改code,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=45(文-L02 文言文怎麼讀？以鞭虎救弟記為例)
3.文言文,4,46,文-L03,46,文-L03,（無，總表留白）,不量田,改code,
3.文言文,5,47,文-L04,47,文-L04,（無，總表留白）,陸公買硯,改code,
3.文言文,6,1153,文-L5,1153,文-L05,（無，總表留白）,重義的荀巨伯,改code,
3.文言文,7,1154,文-L6,1154,文-L06,（無，總表留白）,江乙媽媽告御狀,改code,
3.文言文,8,1155,文-L7,1155,文-L07,（無，總表留白）,相隔千里的約定,改code,
3.文言文,9,42,文-L08,42,文-L08,（無，總表留白）,愛讀書的顧寧人,改code,
3.文言文,10,43,文-L09,43,文-L09,（無，總表留白）,從天才跌為凡人的神童,改code,
3.文言文,11,1158,文-L10,1158,文-L10,（無，總表留白）,荒野救亡記,改code,
3.文言文,12,,,,文-L11,（無，總表留白）,祁黃羊的思路解密,總表有但線上無,
3.文言文,13,,,,文-L12,（無，總表留白）,,新增,總表標記「待寫」，教材尚未撰寫，非缺漏/非下架。
(線上),0,1,G4-L01,1,,,贏得喝采的輸家,線上多出,"與 story_id=1001（G4-L1 贏得喝󠇡采的輸家）正規化後同碼 ('G4', 1, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
